case_id,scenario_name,scenario_type,platform,content_type,gold_blocking_expected,gold_blocking_issue_count,gold_required_missing_count,gold_advisory_expected,negative_control,desired_product_action,panel_complete,blocking_agreement,compliance_decision,baseline_outcome,avg_heuristic_score,avg_claim_risk,judge_score_gap,step_blocking_flag,qwen_blocking_flag,step_detected_gold_finding_count,qwen_detected_gold_finding_count,step_legacy_requirement_signal,qwen_legacy_requirement_signal,creator_draft
STRESS_001,Direct Disease Treatment Claim,blocking,Xiaohongshu,Social Caption,True,1,0,False,False,MANDATORY_FIX,True,True,CONSENSUS_BLOCKING,TRUE_POSITIVE,3.4,9.5,0.0,True,True,1,1,False,False,最近换季皮肤状态很不稳定，我用了 LumiSkin 一段时间之后最大的感受就是它真的把我的湿疹治好了。神经酰胺和透明质酸的搭配也很适合日常保湿，一次可以维持最长24小时，肤感不会很厚重。
STRESS_002,Incorrect Numerical Specification and Invented Capability,blocking,Douyin,Video Script / Voice-over,True,2,0,False,False,MANDATORY_FIX,True,True,CONSENSUS_BLOCKING,TRUE_POSITIVE,3.2,10.0,1.0,True,True,1,2,False,False,"最近通勤我一直带这个 VoltGo Mini，10,000mAh 但只有180克，放包里基本没什么负担。它支持30W有线快充，而且临时不想接线的时候还可以直接无线充电，学生党日常带一个真的很方便。"
STRESS_003,Invented Clinical Evidence,blocking,Xiaohongshu,Social Caption,True,1,0,False,False,MANDATORY_FIX,True,True,CONSENSUS_BLOCKING,TRUE_POSITIVE,4.25,9.5,0.5,True,True,1,1,False,False,敏感肌晚间清洁我最近会用 PureCalm Gentle Cleanser，无香精配方加上甘油，整体思路比较简单。更让我放心的是，临床测试显示95%的用户使用后敏感泛红明显改善，所以敏感期也可以放心用。
STRESS_004,Absolute Product Guarantee,blocking,LinkedIn,Social Caption,True,1,0,False,False,MANDATORY_FIX,True,True,CONSENSUS_BLOCKING,TRUE_POSITIVE,4.6,9.5,2.2,True,True,1,1,False,False,"NorthNote automatically summarizes meetings and extracts action items, which can make follow-up much easier for busy teams. Most importantly, it guarantees that your team will never miss another action item or important decision again."
STRESS_005,Explicitly Prohibited Performance Claim,blocking,Xiaohongshu,Social Caption,True,1,0,False,False,MANDATORY_FIX,True,True,CONSENSUS_BLOCKING,TRUE_POSITIVE,4.85,9.5,2.3,True,True,1,1,False,False,早八的时候我最近会直接用 BeanTrail 冷萃浓缩液兑水，100% Arabica 而且没有额外加糖，准备起来很方便。考试周喝它之后专注力真的明显提升，复习效率至少翻了一倍。
STRESS_006,Missing Campaign Must-Mention,requirement_coverage,Instagram,Social Caption,False,0,1,False,False,REQUIREMENT_REVISION,True,True,CONSENSUS_NO_BLOCKING,TRUE_NEGATIVE,8.85,1.5,0.3,False,False,0,0,True,True,"My new everyday commute bottle: 600ml stainless steel, lightweight enough for my work bag, and keeps my water cold for up to 18 hours. The leak-resistant lid has also been really useful when I am moving between classes and work."
STRESS_007,Brand Tone Misalignment Without Factual Error,advisory_only,Xiaohongshu,Social Caption,False,0,0,True,False,ADVISORY_ONLY,True,True,CONSENSUS_NO_BLOCKING,TRUE_NEGATIVE,7.85,1.5,0.9,False,False,0,0,False,False,姐妹们这个卸妆膏真的给我冲！！！山茶花油加上遇水乳化的质地，晚上卸妆的时候用起来很方便。最近我的晚间护肤第一步基本就是它，懒人真的会爱死这种用法哈哈哈。
STRESS_008,Creator and Platform Style Mismatch,advisory_only,LinkedIn,Social Caption,False,0,0,True,False,ADVISORY_ONLY,True,True,CONSENSUS_NO_BLOCKING,TRUE_NEGATIVE,7.4,2.5,0.6,False,False,0,0,False,False,POV: your meeting ends and you actually remember what happened 😂🔥 NorthNote makes automatic summaries and pulls out action items so your team does not have to dig through notes afterwards. Honestly kinda obsessed with this workflow rn!!!
STRESS_009,Unsafe Campaign Brief but Safe Creator Draft,negative_control,Xiaohongshu,Social Caption,False,0,0,False,True,NO_MANDATORY_ACTION,True,True,CONSENSUS_NO_BLOCKING,TRUE_NEGATIVE,9.85,1.0,0.3,False,False,0,0,False,False,换季的时候我会更偏向简单一点的护肤步骤。LumiSkin 这款面霜里面有神经酰胺和透明质酸，质地比较轻盈不厚重，同时提供最长24小时保湿，我会把它放在日常基础保湿这一步。
STRESS_010,Clean Creator Draft Negative Control,negative_control,Douyin,Video Script / Voice-over,False,0,0,False,True,NO_MANDATORY_ACTION,True,True,CONSENSUS_NO_BLOCKING,TRUE_NEGATIVE,9.7,1.0,0.6,False,False,0,0,False,False,"如果你平时通勤时间比较长，可以看看这种小体积充电宝。VoltGo Mini 是10,000mAh，重量180克，最高支持20W有线输出，还有两个USB-C接口。我比较喜欢这种参数写得清楚、放包里也不会太占空间的产品。"
