case_id,scenario_name,scenario_type,judge_model,judge_model_id,architecture_version,attempts,evaluation_latency,content_origin,structured_requirements,gold_blocking_expected,gold_blocking_issue_count,gold_required_missing_count,negative_control,status,predicted_blocking_flag,predicted_blocking_count,detected_gold_finding_count,detected_gold_issue_ids,predicted_requirement_flag,predicted_requirement_count,detected_gold_requirement_count,matched_predicted_requirement_count,extra_predicted_requirement_count,requirement_signature,mandatory_action_status,creator_authenticity_regression,brand_alignment,tone_match,selling_point_coverage,factual_consistency,unsupported_claim_risk,heuristic_composite_score,advisory_count,advisory_supplied_context_count,advisory_general_heuristic_count,advisory_system_grounding_review_count,advisory_other_basis_count,advisory_provenance_relabel_count,advisory_copy_like_suggestion_count,compliance_findings,requirement_findings,advisory_findings,review_notes,error
STRESS_001,Direct Disease Treatment Claim,blocking,step,stepfun-ai/Step-3.5-Flash,v2.2,1,57.77,creator_draft,"[{""requirement_id"": ""R1"", ""content"": ""Ceramides or hyaluronic acid"", ""match_mode"": ""SEMANTIC""}, {""requirement_id"": ""R2"", ""content"": ""Up to 24 hours of hydration"", ""match_mode"": ""SEMANTIC""}]",True,1,0,False,SUCCESS,True,1,1,"[""B001""]",False,0,0,0,0,[],COMPLIANCE_ACTION,False,3,4,6,4,9,3.9,2,1,1,0,0,1,0,"[{""evidence"": ""它真的把我的湿疹治好了"", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""Do not claim that the product treats or cures eczema, dermatitis, or any other disease."", ""reason"": ""The submitted content explicitly claims the product cured the creator's eczema, which directly conflicts with the explicit policy prohibition on claims that the product treats or cures eczema or any other disease."", ""required_action"": ""Remove the claim that the product cured eczema.""}]",[],"[{""area"": ""Campaign Brief Alignment"", ""evidence"": ""The submitted content does not reference the product's suitability for dry or sensitive skin or situate the product within a simple daily skincare routine."", ""reason"": ""The campaign brief specifies the post should introduce the product for young consumers with dry or sensitive skin as part of a simple daily skincare routine, and adding these references would improve alignment with the brief's core focus."", ""suggestion"": ""Add natural references to the product's suitability for dry or sensitive skin and its place in a simple daily skincare routine using only verified product facts already provided."", ""basis_type"": ""SUPPLIED_CONTEXT"", ""basis_source"": ""CAMPAIGN BRIEF"", ""basis_quote"": ""Create a Xiaohongshu creator post introducing LumiSkin Barrier Repair Moisturizer as part of a simple daily skincare routine for young consumers with dry or sensitive skin.""}, {""area"": ""Brand Tone Alignment"", ""evidence"": ""The submitted content uses casual, definitive phrasing (e.g., \""最大的感受就是它真的...\"") that is less aligned with the brand's specified communication tone."", ""reason"": ""The brand's official communication is specified as calm, professional, trustworthy, and modern, and adjusting phrasing to be more measured would better align with the brand's voice while retaining the creator's personal experience style."", ""suggestion"": ""Adjust overly casual or definitive phrasing to be more consistent with the brand's professional tone, without removing the creator's personal experience perspective."", ""basis_type"": ""GENERAL_HEURISTIC"", ""basis_source"": """", ""basis_quote"": """"}]","[""Structured mandatory requirements R1 (ceramides or hyaluronic acid) and R2 (up to 24 hours of hydration) are both satisfied via semantic matching of the submitted content, with no conflict with higher-priority policy rules."", ""Advisory finding 2 claimed SUPPLIED_CONTEXT but its basis provenance could not be verified. It was relabeled GENERAL_HEURISTIC.""]",
STRESS_001,Direct Disease Treatment Claim,blocking,qwen,Qwen/Qwen3.5-35B-A3B,v2.2,1,38.94,creator_draft,"[{""requirement_id"": ""R1"", ""content"": ""Ceramides or hyaluronic acid"", ""match_mode"": ""SEMANTIC""}, {""requirement_id"": ""R2"", ""content"": ""Up to 24 hours of hydration"", ""match_mode"": ""SEMANTIC""}]",True,1,0,False,SUCCESS,True,1,1,"[""B001""]",False,0,0,0,0,[],COMPLIANCE_ACTION,False,2,3,9,2,10,3.4,1,1,0,0,0,0,0,"[{""evidence"": ""它真的把我的湿疹治好了"", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""Do not claim that the product treats or cures eczema, dermatitis, or any other disease."", ""reason"": ""Content claims the product cures eczema, which is explicitly prohibited by policy."", ""required_action"": ""Remove the claim regarding curing eczema.""}]",[],"[{""area"": ""TONE_MATCH"", ""evidence"": ""真的"", ""reason"": ""Emphatic language conflicts with the calm, professional brand tone."", ""suggestion"": ""Reduce emphatic particles to better match the supplied professional tone."", ""basis_type"": ""SUPPLIED_CONTEXT"", ""basis_source"": ""BRAND INFORMATION"", ""basis_quote"": ""The brand communicates in a calm, professional, trustworthy, and modern tone.""}]",[],
STRESS_002,Incorrect Numerical Specification and Invented Capability,blocking,step,stepfun-ai/Step-3.5-Flash,v2.2,1,54.28,creator_draft,"[{""requirement_id"": ""R1"", ""content"": ""10,000mAh"", ""match_mode"": ""SEMANTIC""}, {""requirement_id"": ""R2"", ""content"": ""Portable design"", ""match_mode"": ""SEMANTIC""}]",True,2,0,False,SUCCESS,True,2,2,"[""B002"", ""B003""]",False,0,0,0,0,[],COMPLIANCE_ACTION,False,3,3,5,2,9,2.9,2,1,1,0,0,1,0,"[{""evidence"": ""它支持30W有线快充"", ""policy_source"": ""BRAND INFORMATION"", ""policy_basis"": ""Maximum wired charging output: 20W."", ""reason"": ""Submitted content claims 30W maximum wired charging output, which directly contradicts the verified product specification of 20W maximum wired charging output."", ""required_action"": ""Correct the wired charging output claim to match the verified 20W specification.""}, {""evidence"": ""而且临时不想接线的时候还可以直接无线充电"", ""policy_source"": ""BRAND INFORMATION"", ""policy_basis"": ""Wireless charging is not supported."", ""reason"": ""Submitted content claims the product supports wireless charging, which directly contradicts the verified product fact that wireless charging is not supported, and violates the campaign requirement to avoid wireless charging claims."", ""required_action"": ""Remove the wireless charging claim entirely as the product does not support this feature.""}]",[],"[{""area"": ""Brand tone alignment"", ""evidence"": ""学生党日常带一个真的很方便"", ""reason"": ""The submitted content uses casual colloquial slang and vague promotional language that does not align with the brand's required communication tone of being clear, technical, and useful without exaggeration."", ""suggestion"": ""Reduce casual slang and vague promotional language to better match the brand's specified clear, technical tone, using only verified product facts."", ""basis_type"": ""SUPPLIED_CONTEXT"", ""basis_source"": ""BRAND INFORMATION"", ""basis_quote"": ""Its communication should be clear, technical, and useful without exaggeration.""}, {""area"": ""Content structure alignment with creator style"", ""evidence"": ""它支持30W有线快充，而且临时不想接线的时候还可以直接无线充电，学生党日常带一个真的很方便。"", ""reason"": ""The creator's specified style is fast-paced practical product reviews with specification-focused explanations, but the current script groups unsubstantiated technical claims with vague promotional language rather than structuring verified product specifications clearly for the target audience."", ""suggestion"": ""Restructure the script to lead with verified product specifications in a clear, scannable format aligned with the creator's spec-focused review style after correcting all factual errors."", ""basis_type"": ""GENERAL_HEURISTIC"", ""basis_source"": """", ""basis_quote"": """"}]","[""Advisory finding 2 claimed SUPPLIED_CONTEXT but its basis provenance could not be verified. It was relabeled GENERAL_HEURISTIC.""]",
STRESS_002,Incorrect Numerical Specification and Invented Capability,blocking,qwen,Qwen/Qwen3.5-35B-A3B,v2.2,1,35.79,creator_draft,"[{""requirement_id"": ""R1"", ""content"": ""10,000mAh"", ""match_mode"": ""SEMANTIC""}, {""requirement_id"": ""R2"", ""content"": ""Portable design"", ""match_mode"": ""SEMANTIC""}]",True,2,0,False,SUCCESS,True,2,2,"[""B002"", ""B003""]",False,0,0,0,0,[],COMPLIANCE_ACTION,False,2,4,7,1,10,2.9,1,1,0,0,0,0,0,"[{""evidence"": ""它支持 30W 有线快充"", ""policy_source"": ""BRAND INFORMATION"", ""policy_basis"": ""Maximum wired charging output: 20W."", ""reason"": ""Submitted content claims 30W output which exceeds the verified maximum of 20W."", ""required_action"": ""Correct the wired charging output specification to match the verified 20W limit.""}, {""evidence"": ""而且临时不想接线的时候还可以直接无线充电"", ""policy_source"": ""BRAND INFORMATION"", ""policy_basis"": ""Wireless charging is not supported."", ""reason"": ""Submitted content claims wireless charging capability which contradicts the verified product specification."", ""required_action"": ""Remove the wireless charging claim as the product does not support this function.""}]",[],"[{""area"": ""Tone Match"", ""evidence"": ""学生党日常带一个真的很方便"", ""reason"": ""Language contains promotional emphasis that may exceed the brand guideline for communication without exaggeration."", ""suggestion"": ""Reduce casual promotional language to better match the supplied professional tone."", ""basis_type"": ""SUPPLIED_CONTEXT"", ""basis_source"": ""BRAND INFORMATION"", ""basis_quote"": ""Its communication should be clear, technical, and useful without exaggeration.""}]",[],
STRESS_003,Invented Clinical Evidence,blocking,step,stepfun-ai/Step-3.5-Flash,v2.2,1,49.9,creator_draft,"[{""requirement_id"": ""R1"", ""content"": ""Fragrance-free"", ""match_mode"": ""SEMANTIC""}, {""requirement_id"": ""R2"", ""content"": ""Glycerin"", ""match_mode"": ""SEMANTIC""}]",True,1,0,False,SUCCESS,True,1,1,"[""B004""]",False,0,0,0,0,[],COMPLIANCE_ACTION,False,3,4,4,2,9,2.9,2,1,1,0,0,1,0,"[{""evidence"": ""临床测试显示95%的用户使用后敏感泛红明显改善"", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""No clinical study results, dermatologist certification, or user-percentage efficacy data have been provided. Do not invent such evidence."", ""reason"": ""Submitted content includes an invented clinical test result and 95% user efficacy statistic that are explicitly prohibited by policy, as no such data has been supplied and inventing such evidence is forbidden"", ""required_action"": ""Remove the invented clinical test claim and 95% user efficacy statistic entirely, without replacing it with any new unsubstantiated claim or benefit""}]",[],"[{""area"": ""Campaign brief objective alignment"", ""evidence"": ""The full submitted content only references using PureCalm Gentle Cleanser for evening cleansing, with no outline of the requested simple evening cleansing routine"", ""reason"": ""The original campaign brief explicitly requires an educational post introducing a simple evening cleansing routine, which is not addressed in the submitted content"", ""suggestion"": ""Add a clear, simple outline of the evening cleansing routine steps relevant to gentle skincare for sensitive skin, using only verified product facts"", ""basis_type"": ""SUPPLIED_CONTEXT"", ""basis_source"": ""CAMPAIGN BRIEF"", ""basis_quote"": ""Create an educational Xiaohongshu post introducing a simple evening cleansing routine""}, {""area"": ""Creator style alignment"", ""evidence"": ""无香精配方加上甘油，整体思路比较简单"", ""reason"": ""The creator profile specifies an ingredient-focused, educational style that explains products through simple skincare knowledge, but the submitted content only lists the required ingredients without explaining their benefits for the target audience of sensitive skin consumers"", ""suggestion"": ""Add a simple, verified explanation of how fragrance-free and glycerin support gentle cleansing for sensitive skin, without introducing unsubstantiated claims"", ""basis_type"": ""GENERAL_HEURISTIC"", ""basis_source"": """", ""basis_quote"": """"}]","[""Advisory finding 2 claimed SUPPLIED_CONTEXT but its basis provenance could not be verified. It was relabeled GENERAL_HEURISTIC.""]",
STRESS_003,Invented Clinical Evidence,blocking,qwen,Qwen/Qwen3.5-35B-A3B,v2.2,2,440.57,creator_draft,"[{""requirement_id"": ""R1"", ""content"": ""Fragrance-free"", ""match_mode"": ""SEMANTIC""}, {""requirement_id"": ""R2"", ""content"": ""Glycerin"", ""match_mode"": ""SEMANTIC""}]",True,1,0,False,SUCCESS,True,1,1,"[""B004""]",False,0,0,0,0,[],COMPLIANCE_ACTION,False,3,5,9,1,10,3.6,1,1,0,0,0,0,0,"[{""evidence"": ""临床测试显示95%的用户使用后敏感泛红明显改善"", ""policy_source"": ""BRAND INFORMATION"", ""policy_basis"": ""No clinical study, dermatologist certification, or user-percentage study has been supplied for this campaign."", ""reason"": ""Content claims specific clinical study results and user percentages which are explicitly stated as not supplied in Brand Information."", ""required_action"": ""Remove all references to clinical studies, user percentages, and efficacy data not supported by supplied materials.""}]",[],"[{""area"": ""Educational Alignment"", ""evidence"": ""更让我放心的是，临床测试显示95%的用户使用后敏感泛红明显改善"", ""reason"": ""Current draft relies on unverified outcome claims which contradicts the educational focus."", ""suggestion"": ""Shift focus from outcome claims to verified ingredient descriptions to align with educational style."", ""basis_type"": ""SUPPLIED_CONTEXT"", ""basis_source"": ""CAMPAIGN BRIEF"", ""basis_quote"": ""Explains products through simple skincare knowledge""}]",[],
STRESS_004,Absolute Product Guarantee,blocking,step,stepfun-ai/Step-3.5-Flash,v2.2,1,42.68,creator_draft,"[{""requirement_id"": ""R1"", ""content"": ""Automatic meeting summaries"", ""match_mode"": ""SEMANTIC""}, {""requirement_id"": ""R2"", ""content"": ""Action-item extraction"", ""match_mode"": ""SEMANTIC""}]",True,1,0,False,SUCCESS,True,1,1,"[""B005""]",False,0,0,0,0,[],COMPLIANCE_ACTION,False,5,4,6,5,8,4.8,2,2,0,0,0,0,0,"[{""evidence"": ""it guarantees that your team will never miss another action item or important decision again"", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""Do not guarantee that NorthNote will ensure no action item, decision, or meeting detail is ever missed"", ""reason"": ""The submitted content includes an explicit guarantee that no action item or important decision will ever be missed, which is directly prohibited by explicit policy rules"", ""required_action"": ""Remove the explicit guarantee that the team will never miss action items or important decisions""}]",[],"[{""area"": ""Audience resonance and content fit"", ""evidence"": ""No workplace-specific example or context relevant to managers and professional teams is included in the submitted content"", ""reason"": ""The creator's stated content characteristics require professional posts using workplace examples to engage the target audience of managers and teams with heavy meeting workloads, which is absent from the current generic copy"", ""suggestion"": ""Add a brief, relatable workplace example relevant to managers and professional teams who attend frequent meetings to improve audience connection"", ""basis_type"": ""SUPPLIED_CONTEXT"", ""basis_source"": ""CAMPAIGN BRIEF"", ""basis_quote"": ""Content Characteristics: Professional posts using workplace examples""}, {""area"": ""Brand tone and precision alignment"", ""evidence"": ""The submitted content is generic and does not clearly tie product features to the specific pain points of the target audience"", ""reason"": ""The brand's required communication style is precise, and the current copy does not connect the product's automatic summaries and action-item extraction to the common pain points of managers and teams who spend significant time in meetings, reducing precision and alignment with the brand's credible positioning"", ""suggestion"": ""Refine the copy to more precisely connect the product's existing verified features to the specific time-saving and follow-up pain points of the target audience, without adding unverified claims"", ""basis_type"": ""SUPPLIED_CONTEXT"", ""basis_source"": ""BRAND INFORMATION"", ""basis_quote"": ""Its communication style is professional, precise, calm, and credible""}]",[],
STRESS_004,Absolute Product Guarantee,blocking,qwen,Qwen/Qwen3.5-35B-A3B,v2.2,1,594.85,creator_draft,"[{""requirement_id"": ""R1"", ""content"": ""Automatic meeting summaries"", ""match_mode"": ""SEMANTIC""}, {""requirement_id"": ""R2"", ""content"": ""Action-item extraction"", ""match_mode"": ""SEMANTIC""}]",True,1,0,False,SUCCESS,True,1,1,"[""B005""]",False,0,0,0,0,[],COMPLIANCE_ACTION,False,3,2,10,2,10,3.7,2,1,1,0,0,0,0,"[{""evidence"": ""it guarantees that your team will never miss another action item or important decision again"", ""policy_source"": ""CAMPAIGN BRIEF"", ""policy_basis"": ""Guarantees that nothing will ever be missed"", ""reason"": ""The submitted content explicitly guarantees that no action items or decisions will ever be missed, which directly violates the campaign prohibition against such guarantees."", ""required_action"": ""Remove the guarantee regarding missing action items or decisions and rephrase to reflect capability without absolute assurance.""}]",[],"[{""area"": ""Tone Consistency"", ""evidence"": ""NorthNote automatically summarizes meetings and extracts action items, which can make follow-up much easier for busy teams."", ""reason"": ""While the first sentence is factual, the overall tone shifts from professional to alarmist due to the subsequent guarantee, conflicting with the brand's calm and credible style."", ""suggestion"": ""Ensure the entire post maintains a calm, precise, and credible tone consistent with NorthNote's brand voice."", ""basis_type"": ""SUPPLIED_CONTEXT"", ""basis_source"": ""BRAND INFORMATION"", ""basis_quote"": ""Its communication style is professional, precise, calm, and credible.""}, {""area"": ""Claim Precision"", ""evidence"": ""guarantees that your team will never miss another action item or important decision again"", ""reason"": ""The claim uses absolute language (\""never miss\"") which creates high risk of being perceived as misleading even if not strictly blocked by this specific policy line, given the context of AI limitations."", ""suggestion"": ""Replace absolute outcome claims with qualified statements about efficiency or assistance capabilities."", ""basis_type"": ""GENERAL_HEURISTIC"", ""basis_source"": """", ""basis_quote"": """"}]",[],
STRESS_005,Explicitly Prohibited Performance Claim,blocking,step,stepfun-ai/Step-3.5-Flash,v2.2,1,51.69,creator_draft,"[{""requirement_id"": ""R1"", ""content"": ""100% Arabica"", ""match_mode"": ""SEMANTIC""}, {""requirement_id"": ""R2"", ""content"": ""No added sugar"", ""match_mode"": ""SEMANTIC""}]",True,1,0,False,SUCCESS,True,1,1,"[""B006""]",False,0,0,0,0,[],COMPLIANCE_ACTION,False,6,9,8,8,9,6.9,2,1,1,0,0,0,0,"[{""evidence"": ""考试周喝它之后专注力真的明显提升，复习效率至少翻了一倍。"", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""Do not claim that the product improves concentration, memory, academic performance, exam results, weight loss, or health outcomes."", ""reason"": ""Submitted content explicitly claims the product improves concentration and study efficiency, which is directly prohibited by the stated policy."", ""required_action"": ""Remove the concentration and study efficiency improvement claim from the content.""}]",[],"[{""area"": ""Optional verified selling point coverage"", ""evidence"": ""准备起来很方便。"", ""reason"": ""The verified brand information includes that the product bottle has approximately 8 servings, a relevant selling point for student routines that is not currently mentioned and could be added naturally without introducing new unsubstantiated claims."", ""suggestion"": ""Consider adding the optional verified selling point of approximately 8 servings per bottle if it fits naturally into the routine context."", ""basis_type"": ""SUPPLIED_CONTEXT"", ""basis_source"": ""BRAND INFORMATION"", ""basis_quote"": ""Approximately 8 servings per bottle.""}, {""area"": ""Platform and audience engagement"", ""evidence"": ""早八的时候我最近会直接用 BeanTrail 冷萃浓缩液兑水，准备起来很方便。"", ""reason"": ""Xiaohongshu student lifestyle content typically includes more specific, relatable routine details to better engage the university student audience, and the current caption is relatively brief."", ""suggestion"": ""Add authentic, relevant student routine details to improve engagement with the target audience, without introducing new unsubstantiated claims."", ""basis_type"": ""GENERAL_HEURISTIC"", ""basis_source"": """", ""basis_quote"": """"}]","[""The content otherwise fulfills the core campaign brief objective of demonstrating BeanTrail's fit for a busy student morning routine, with both mandatory structured requirements (R1: 100% Arabica, R2: No added sugar) satisfied via semantic match.""]",
STRESS_005,Explicitly Prohibited Performance Claim,blocking,qwen,Qwen/Qwen3.5-35B-A3B,v2.2,1,87.73,creator_draft,"[{""requirement_id"": ""R1"", ""content"": ""100% Arabica"", ""match_mode"": ""SEMANTIC""}, {""requirement_id"": ""R2"", ""content"": ""No added sugar"", ""match_mode"": ""SEMANTIC""}]",True,1,0,False,SUCCESS,True,2,1,"[""B006""]",False,0,0,0,0,[],COMPLIANCE_ACTION,False,3,5,10,2,10,4.1,1,1,0,0,0,0,0,"[{""evidence"": ""专注力真的明显提升"", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""Do not claim that the product improves concentration, memory, academic performance, exam results, weight loss, or health outcomes."", ""reason"": ""Content claims focus improvement which is explicitly prohibited by policy."", ""required_action"": ""Remove the claim regarding focus improvement.""}, {""evidence"": ""复习效率至少翻了一倍"", ""policy_source"": ""CAMPAIGN BRIEF"", ""policy_basis"": ""- Academic performance claims"", ""reason"": ""Content claims review efficiency doubling which falls under academic performance claims."", ""required_action"": ""Remove the claim regarding review efficiency doubling.""}]",[],"[{""area"": ""Tone Consistency"", ""evidence"": ""真的明显提升，至少翻了一倍"", ""reason"": ""Exaggerated language conflicts with the requested friendly and relaxed brand tone."", ""suggestion"": ""Reduce promotional intensity and exaggeration in outcome descriptions."", ""basis_type"": ""SUPPLIED_CONTEXT"", ""basis_source"": ""BRAND INFORMATION"", ""basis_quote"": ""Its tone is friendly, relaxed, and contemporary.""}]",[],
