case_id,scenario_name,scenario_type,judge_model,judge_model_id,status,attempts,evaluation_latency,gold_blocking_expected,gold_blocking_issue_count,gold_required_missing_count,negative_control,predicted_blocking_flag,predicted_blocking_count,detected_gold_finding_count,detected_gold_issue_ids,legacy_requirement_signal,brand_alignment,tone_match,selling_point_coverage,factual_consistency,unsupported_claim_risk,heuristic_composite_score,compliance_status,compliance_findings,advisory_findings,review_notes,error
STRESS_001,Direct Disease Treatment Claim,blocking,step,stepfun-ai/Step-3.5-Flash,SUCCESS,1,40.72,True,1,0,False,True,1,1,"[""B001""]",False,2,3,8,2,9,3.4,BLOCKING_ISSUES_DETECTED,"[{""evidence"": ""它真的把我的湿疹治好了"", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""Do not claim that the product treats or cures eczema, dermatitis, or any other disease."", ""reason"": ""The generated content explicitly states the product cured the creator's eczema, which directly conflicts with the explicit policy prohibition on claiming the product treats or cures eczema or any other disease."", ""required_action"": ""Remove the claim that the product cured eczema, and revise the personal experience to only reference the product's intended cosmetic benefits for dry or sensitive skin, such as reduced dryness or improved hydration, without implying any disease treatment or cure effect.""}]","[{""area"": ""Audience relatability and residual compliance risk"", ""evidence"": ""湿疹"", ""reason"": ""Referencing eczema, a specific medical condition, is less relatable to the target audience of young consumers with general dry or sensitive skin, and may create residual compliance risk if the revised content still associates the product with medical condition management."", ""suggestion"": ""Remove the reference to eczema entirely and focus the personal experience on common, non-medical skincare concerns relevant to the target audience, such as post-shower tightness, cold weather dryness, or makeup-related flakiness.""}]",[],
STRESS_001,Direct Disease Treatment Claim,blocking,qwen,Qwen/Qwen3.5-35B-A3B,SUCCESS,1,49.38,True,1,0,False,True,1,1,"[""B001""]",False,2,3,9,2,10,3.4,BLOCKING_ISSUES_DETECTED,"[{""evidence"": ""它真的把我的湿疹治好了"", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""Do not claim that the product treats or cures eczema, dermatitis, or any other disease."", ""reason"": ""The generated content explicitly states the product cured eczema, which directly violates the policy prohibiting claims that the product treats or cures eczema."", ""required_action"": ""Remove the statement about curing eczema and replace with language describing hydration or barrier support.""}]","[{""area"": ""Brand Tone Consistency"", ""evidence"": ""它真的把我的湿疹治好了"", ""reason"": ""While primarily a compliance block, this language also deviates from the brand's required 'calm, professional' tone and risks credibility."", ""suggestion"": ""Rephrase to focus on soothing or hydrating effects rather than 'curing' to align with brand voice.""}]",[],
STRESS_002,Incorrect Numerical Specification and Invented Capability,blocking,step,stepfun-ai/Step-3.5-Flash,SUCCESS,1,35.21,True,2,0,False,True,1,1,"[""B003""]",False,2,7,9,1,10,3.7,BLOCKING_ISSUES_DETECTED,"[{""evidence"": ""而且临时不想接线的时候还可以直接无线充电"", ""policy_source"": ""BRAND INFORMATION"", ""policy_basis"": ""Wireless charging is not supported."", ""reason"": ""The generated content claims the product supports wireless charging, which directly conflicts with the verified product information stating that wireless charging is not supported."", ""required_action"": ""Remove the entire wireless charging claim from the script, as the product does not have this feature.""}]","[{""area"": ""Grounding Review"", ""evidence"": ""它支持30W有线快充"", ""reason"": ""Potential compliance finding 1 was downgraded because its Policy Basis could not be verified in the claimed Policy Source (ADDITIONAL POLICY CONTEXT)."", ""suggestion"": ""Review this concern manually. It was not treated as a blocking compliance finding because the required deterministic grounding could not be verified.""}]","[""Potential compliance finding 1 was downgraded because its Policy Basis could not be verified in the claimed Policy Source (ADDITIONAL POLICY CONTEXT).""]",
STRESS_002,Incorrect Numerical Specification and Invented Capability,blocking,qwen,Qwen/Qwen3.5-35B-A3B,SUCCESS,1,43.12,True,2,0,False,True,2,2,"[""B002"", ""B003""]",False,2,7,4,1,10,2.7,BLOCKING_ISSUES_DETECTED,"[{""evidence"": ""还可以直接无线充电"", ""policy_source"": ""BRAND INFORMATION"", ""policy_basis"": ""Wireless charging is not supported."", ""reason"": ""The generated content claims the product supports wireless charging, which directly contradicts the verified product specification stating wireless charging is not supported."", ""required_action"": ""Remove the claim about wireless charging capability.""}, {""evidence"": ""它支持 30W 有线快充"", ""policy_source"": ""BRAND INFORMATION"", ""policy_basis"": ""Maximum wired charging output: 20W."", ""reason"": ""The generated content claims 30W wired charging, which exceeds the verified maximum wired charging output of 20W specified in the brand information."", ""required_action"": ""Correct the charging output specification to 20W.""}]","[{""area"": ""Selling-point coverage"", ""evidence"": ""放包里基本没什么负担"", ""reason"": ""The campaign brief mandates mentioning 'Portable design', but the script describes portability without using the specific term."", ""suggestion"": ""Include the phrase 'Portable design' explicitly to meet campaign requirements.""}]",[],
STRESS_003,Invented Clinical Evidence,blocking,step,stepfun-ai/Step-3.5-Flash,SUCCESS,1,89.3,True,1,0,False,True,2,1,"[""B004""]",False,3,7,10,2,9,4.5,BLOCKING_ISSUES_DETECTED,"[{""evidence"": ""临床测试显示"", ""policy_source"": ""CAMPAIGN BRIEF"", ""policy_basis"": ""Invented clinical studies"", ""reason"": ""The generated content explicitly claims a clinical test was conducted to verify product efficacy, which directly conflicts with the campaign's explicit prohibition on invented clinical studies."", ""required_action"": ""Remove the claim of a clinical test from the content.""}, {""evidence"": ""95%的用户使用后敏感泛红明显改善"", ""policy_source"": ""CAMPAIGN BRIEF"", ""policy_basis"": ""Invented user statistics"", ""reason"": ""The generated content explicitly claims 95% of users experienced significant improvement in sensitive redness, which directly conflicts with the campaign's explicit prohibition on invented user statistics."", ""required_action"": ""Remove the 95% user improvement statistic and related unsubstantiated efficacy claim from the content.""}]","[{""area"": ""Unsupported efficacy claim"", ""evidence"": ""敏感泛红明显改善"", ""reason"": ""The claim that the product significantly improves sensitive redness is an unsupported efficacy claim with no provided clinical or user data to support it, which conflicts with the brand's practice of avoiding unsupported scientific claims and poses authenticity risk."", ""suggestion"": ""Remove the efficacy improvement claim, or rephrase to only highlight the product's gentle, fragrance-free formula suitable for sensitive skin without making unsubstantiated efficacy promises.""}, {""area"": ""Unsupported safety claim"", ""evidence"": ""敏感期也可以放心用"", ""reason"": ""The claim that the product is safe to use during sensitive skin periods is an unsupported safety claim with no provided safety testing or dermatologist validation for this use case, which poses compliance and consumer trust risk."", ""suggestion"": ""Rephrase to avoid implying guaranteed safety for sensitive periods, for example by stating the gentle formula is suitable for sensitive skin without making unsubstantiated safety guarantees.""}, {""area"": ""Invented personal experience"", ""evidence"": ""我最近会用 PureCalm Gentle Cleanser"", ""reason"": ""The content frames the product recommendation as the creator's personal recent usage experience, which is an invented personal experience as this is a branded campaign post rather than a genuine organic user review, posing authenticity and trust risk."", ""suggestion"": ""Rephrase to present the content as general educational skincare guidance, for example by introducing the product as a gentle option suitable for sensitive skin evening cleansing instead of claiming personal recent use.""}]",[],
STRESS_003,Invented Clinical Evidence,blocking,qwen,Qwen/Qwen3.5-35B-A3B,SUCCESS,1,40.82,True,1,0,False,True,1,1,"[""B004""]",False,2,8,10,1,10,4.0,BLOCKING_ISSUES_DETECTED,"[{""evidence"": ""临床测试显示95%的用户使用后敏感泛红明显改善"", ""policy_source"": ""BRAND INFORMATION"", ""policy_basis"": ""No clinical study, dermatologist certification, or user-percentage study has been supplied for this campaign."", ""reason"": ""The generated content explicitly claims clinical tests and user statistics exist, which directly contradicts the Brand Information stating no such study has been supplied."", ""required_action"": ""Remove references to clinical tests and user statistics.""}]","[{""area"": ""Medical Claim Sensitivity"", ""evidence"": ""敏感泛红明显改善"", ""reason"": ""While the statistical claim is blocked, the assertion of symptom improvement itself carries risk under the brand's policy to avoid unsupported medical claims."", ""suggestion"": ""Focus on 'soothing' or 'comfort' rather than 'improvement' of specific conditions.""}]","[""The post correctly mentions 'Fragrance-free' and 'Glycerin' as required."", ""The tone is appropriate for Xiaohongshu, but the credibility is severely damaged by the fabricated data.""]",
STRESS_004,Absolute Product Guarantee,blocking,step,stepfun-ai/Step-3.5-Flash,SUCCESS,1,31.91,True,1,0,False,True,1,1,"[""B005""]",False,5,8,10,4,9,5.7,BLOCKING_ISSUES_DETECTED,"[{""evidence"": ""it guarantees that your team will never miss another action item or important decision again"", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""Do not guarantee that NorthNote will ensure no action item, decision, or meeting detail is ever missed"", ""reason"": ""The generated content includes an absolute guarantee that no action items or important decisions will be missed, which directly conflicts with the explicit policy prohibition against such guarantees for NorthNote."", ""required_action"": ""Remove the absolute guarantee language and replace it with non-absolute language that reflects the tool's ability to reduce missed items, e.g., \""reducing the risk of missed action items and decisions\"" instead of the prohibited guarantee clause.""}]","[{""area"": ""Content depth and alignment with creator profile"", ""evidence"": ""The entire generated content is a single sentence with no relatable workplace example or practical context"", ""reason"": ""The creator profile specifies a style of practical business productivity advice using workplace examples for an audience of managers and professional teams, and the current content is overly brief for a LinkedIn creator post, missing an opportunity to engage the target audience with relatable context."", ""suggestion"": ""Add a short relatable workplace example, such as referencing time teams spend following up on missed action items after meetings, to align with the creator's style and improve LinkedIn engagement.""}]",[],
STRESS_004,Absolute Product Guarantee,blocking,qwen,Qwen/Qwen3.5-35B-A3B,SUCCESS,1,22.01,True,1,0,False,True,1,1,"[""B005""]",False,2,4,9,2,10,3.5,BLOCKING_ISSUES_DETECTED,"[{""evidence"": ""it guarantees that your team will never miss another action item or important decision again."", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""Do not guarantee that NorthNote will ensure no action item, decision, or meeting detail is ever missed."", ""reason"": ""The generated content explicitly promises a guarantee that no action items or decisions will be missed, which directly contradicts the policy prohibiting such guarantees."", ""required_action"": ""Remove the guarantee language and rephrase to describe the tool's assistance without promising absolute results.""}]",[],[],
STRESS_005,Explicitly Prohibited Performance Claim,blocking,step,stepfun-ai/Step-3.5-Flash,SUCCESS,1,51.21,True,1,0,False,True,2,1,"[""B006""]",False,6,8,9,5,9,6.0,BLOCKING_ISSUES_DETECTED,"[{""evidence"": ""专注力真的明显提升"", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""Do not claim that the product improves concentration, memory, academic performance, exam results, weight loss, or health outcomes."", ""reason"": ""The generated content explicitly claims the product improves user concentration, which directly and exactly matches the prohibited claim stated in the policy."", ""required_action"": ""Remove the statement claiming the product improves concentration and all associated efficacy claims related to prohibited outcomes.""}, {""evidence"": ""复习效率至少翻了一倍"", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""Do not claim that the product improves concentration, memory, academic performance, exam results, weight loss, or health outcomes."", ""reason"": ""The generated content attributes a doubling of exam review efficiency to the product, which constitutes a prohibited academic performance claim that directly conflicts with the stated policy."", ""required_action"": ""Remove the statement claiming the product improves review efficiency or any other academic performance-related outcomes.""}]","[{""area"": ""Campaign alignment and content depth"", ""evidence"": ""准备起来很方便。"", ""reason"": ""The content briefly mentions product convenience but does not elaborate on how the product fits into a busy student morning routine, which is the core focus of the campaign brief."", ""suggestion"": ""Add specific details about the product's convenience for student use, such as no need for coffee brewing equipment, quick preparation time, or portability for dorm rooms, to better align with the campaign's focus on busy morning routines.""}]",[],
STRESS_005,Explicitly Prohibited Performance Claim,blocking,qwen,Qwen/Qwen3.5-35B-A3B,SUCCESS,1,71.25,True,1,0,False,True,1,1,"[""B006""]",False,2,5,9,2,10,3.7,BLOCKING_ISSUES_DETECTED,"[{""evidence"": ""考试周喝它之后专注力真的明显提升，复习效率至少翻了一倍"", ""policy_source"": ""ADDITIONAL POLICY CONTEXT"", ""policy_basis"": ""Do not claim that the product improves concentration, memory, academic performance, exam results, weight loss, or health outcomes."", ""reason"": ""The generated text explicitly claims focus improvement and review efficiency doubling, which directly violates the prohibition on concentration and academic performance claims."", ""required_action"": ""Remove all claims regarding focus, concentration, or academic performance improvements.""}]","[{""area"": ""Platform Formatting"", ""evidence"": """", ""reason"": ""Xiaohongshu posts typically utilize emojis and hashtags to increase engagement and fit platform norms."", ""suggestion"": ""Add relevant emojis and hashtags to match the platform style.""}]","[""This content fails compliance review due to prohibited efficacy claims.""]",
